Paiva;Kurssi;Vaihto
Dec 30 2020;67.28;756
Dec 29 2020;67.38;382.553
Dec 28 2020;67.30;468.347
Dec 23 2020;65.70;463.354
Dec 22 2020;66.60;625.226
Dec 21 2020;66.54;757.795
Dec 18 2020;66.96;1471.778
Dec 17 2020;66.36;897.831
Dec 16 2020;66.22;725.755
Dec 15 2020;67.66;566.429
Dec 14 2020;67.22;544.89
Dec 11 2020;67.64;652.929
Dec 10 2020;67.54;765.347
Dec 09 2020;67.40;617.698
Dec 08 2020;67.76;564.407
Dec 07 2020;67.50;616.281
Dec 04 2020;66.84;754.32
Dec 03 2020;68.38;548.695
Dec 02 2020;68.52;504.518
Dec 01 2020;68.76;922.55
Nov 30 2020;70.32;1246.732
Nov 27 2020;69.62;748.664
Nov 26 2020;68.70;484.655
Nov 25 2020;68.84;767.899
Nov 24 2020;68.32;858.016
Nov 23 2020;70.44;450.701
Nov 20 2020;70.68;1032.498
Nov 19 2020;70.40;910.926
Nov 18 2020;70.90;780.511
Nov 17 2020;71.10;583.867
Nov 16 2020;70.76;673.988
Nov 13 2020;71.46;769,806
Nov 12, 2020;72.58;800,408
Nov 11, 2020;73.46;748,015
Nov 10, 2020;73.36;1,433,577
Nov 09, 2020;74.20;1,382,588
Nov 06, 2020;72.84;692,545
Nov 05, 2020;72.98;1,022,732
Nov 04, 2020;71.66;697,501
Nov 03, 2020;70.48;757,79
Nov 02, 2020;69.38;652,606
Oct 30, 2020;68.34;788,167
Oct 29, 2020;68.66;786,567
Oct 28, 2020;68.54;1,573,204
Oct 27, 2020;70.28;881,767
Oct 26, 2020;70.38;769,61
Oct 23, 2020;71.52;781,314
Oct 22, 2020;71.26;1,165,176
Oct 21, 2020;73.96;678,614
Oct 20, 2020;74.94;717,434
Oct 19, 2020;74.66;562,16
Oct 16, 2020;75.44;882,304
Oct 15, 2020;74.22;766,818
Oct 14, 2020;75.02;557,479
Oct 13, 2020;74.86;436,174
Oct 12, 2020;74.88;576,618
Oct 09, 2020;73.56;553,109
Oct 08, 2020;72.72;723,72
Oct 07, 2020;73.34;625,159
Oct 06, 2020;72.92;786,877
Oct 05, 2020;75.08;537,904
Oct 02, 2020;74.66;738,463
Oct 01, 2020;73.90;954,738
Sep 30, 2020;75.06;1,110,216
Sep 29, 2020;75.86;910.834
Sep 28 2020;75.00;845.574
Sep 25, 2020;73.46;779,283
Sep 24, 2020;73.38;826,892
Sep 23, 2020;73.86;902,111
Sep 22, 2020;73.38;1,285,172
Sep 21, 2020;71.50;1,593,108
Sep 17, 2020;72.60;741,909
Sep 16, 2020;73.36;753,794
Sep 15, 2020;73.16;551,786
Sep 14, 2020;72.38;577,142
Sep 11, 2020;72.76;743,271
Sep 10, 2020;72.86;713,988
Sep 09, 2020;73.28;788,954
Sep 08, 2020;70.92;806,122
Sep 07, 2020;70.86;570,662
Sep 04, 2020;70.30;1,062,766
Sep 03, 2020;70.38;801,837
Sep 02, 2020;72.98;1,028,056
Sep 01, 2020;72.38;724,734
Aug 31, 2020;71.84;865,366
Aug 28, 2020;72.44;618,989
Aug 27, 2020;72.78;812,178
Aug 26, 2020;72.56;646,049
Aug 25, 2020;72.32;574,561
Aug 24, 2020;71.48;587,92
Aug 21, 2020;71.12;780,975
Aug 20, 2020;70.80;420,916
Aug 19, 2020;70.82;779,337
Aug 18, 2020;70.64;552,096
Aug 17, 2020;71.12;750,42
