Paivamaara;Ylin;Alin;Paatoskurssi;Keskim;Muutos;Vaihtokpl;VaihtoE
Paivamaara;Ylin;Alin;Paatoskurssi;Keskim;Muutos;Vaihtokpl;VaihtoE
29.12.2020;67,8;67,04;67,38;67,37576859;0,118870728;382553;25774599,21
28.12.2020;67,72;65,66;67,3;67,14710173;2,435312024;468347;31445890
23.12.2020;66,84;65,52;65,7;65,88793554;-1,351351351;463354;30529002,46
22.12.2020;67,04;66,08;66,6;66,48427447;0,090171326;625226;41566480,56
21.12.2020;67,1;66,04;66,54;66,55538638;-0,627240143;759045;50518447,86
18.12.2020;67,68;66,34;66,96;67,11582228;0,904159132;1471778;98778192,4
17.12.2020;66,84;66,00;66,36;66,4006417;0,21141649;897831;59616908,82
16.12.2020;67,46;65,64;66,22;66,14894722;-2,128288501;725755;48003625,96
15.12.2020;67,98;67,1;67,66;67,68518122;0,654567093;566429;38339160,72
14.12.2020;67,98;67,22;67,22;67,4237701;-0,620934358;544890;36740084,83
11.12.2020;67,68;66,86;67,64;67,42167417;0,148060409;652929;44020029,62
10.12.2020;68,08;66,76;67,54;67,42874442;0,207715134;765347;51605399,72
9.12.2020;68,18;67,04;67,4;67,36219261;-0,531286895;617698;41608855,82
8.12.2020;67,92;67,16;67,76;67,64334527;0,385185185;564407;38177074,28
7.12.2020;67,92;66,74;67,5;67,45973551;0,987432675;616281;41573990,58
4.12.2020;68,44;66,64;66,84;67,07213975;-2,252120503;754240;50590109,09
3.12.2020;68,86;67,84;68,38;68,2758809;-0,204319907;548695;37462335,28
2.12.2020;69,1;68,16;68,52;68,56459841;-0,34904014;504518;34592109,23
1.12.2020;70,34;68,5;68,76;68,86717533;-2,218430034;922550;63534039,66
30.11.2020;70,74;69,36;70,32;70,28939554;1,005458202;1246732;87630709,35
27.11.2020;69,86;68,38;69,62;69,43979945;1,33915575;748664;51984522,08
26.11.2020;69,94;68,68;68,7;68,99315157;-0,203370134;484655;33439599,18
25.11.2020;69,14;68,06;68,84;68,73228759;0,761124122;767899;52778720,58
24.11.2020;70,94;68,32;68,32;68,87442112;-3,009653606;858016;59103204,6
23.11.2020;71,02;70,44;70,44;70,62587024;-0,339558574;450835;31840973,55
20.11.2020;71,86;70,02;70,68;71,09494983;0,397727273;1032498;73405439,69
