Yhtio;Potentiaali;Riskitaso;Tavoitehinta;Kurssi;LV:n kasvu%;LV:n kasvu%2;EBIT%;EBIT%2;ROE%;ROE%2;ROI%;ROI%2;Omavaraisuusaste;Nettovelkaisuus;EV/EBITDA;EV/EBITDA2;P/E;P/E2;Osinkotuotto-%;Osinkotuotto-%2;P/B;P/B2;EV/Liikevaihto;EV/Liikevaihto2;EV/EBIT;EV/EBIT2;MCAP;EV
Revenio Group;-12;2;44;50,3;25,91;27,6;33,82;35,92;26,61;31,31;26,66;34,63;67,47;-16,74;47,22;35,01;63,68;47,45;0,99;1,31;16,84;14,36;17,3;13,42;51,17;37,35;1320,37;1321,59
Tikkurila;1;2;25;24,95;2,32;2,32;10,29;10,36;22,87;22,14;20,87;21,55;47,97;15,38;13,34;13,25;23,96;23,05;3,01;3,21;5,28;4,94;1,92;1,85;18,63;17,87;1093,93;1132,47
Oriola;3;2;2;1,9;2,54;2,54;1,69;2,03;13,93;15,45;9;11,01;15,23;65,86;6,19;5,19;15,63;13,37;5,26;6,31;2,11;2,02;0,25;0,24;14,54;11,64;351,88;452,47
Orion;10;2;42;37,53;6,96;8;24,3;25;27,49;29,79;34,44;35,73;73,47;-15,56;15,28;14,2;23,63;21,24;4,13;4,26;6,45;6,22;4,37;4,06;17,98;16,25;5359,26;5153,05
Stora Enso;-17;3;13;15,65;5,39;3,21;9,59;11,05;6,39;7,57;7,05;8,37;55,85;29,6;10,4;8,89;21,88;17,76;2,56;2,88;1,37;1,32;1,65;1,56;17,23;14,14;12326,29;14995
Neste;-16;2;50;59,16;31,26;2,26;10,43;12,39;20,89;23,11;20,56;22,75;62,24;3,28;21,64;18,11;33,94;27,98;2,03;2,2;6,81;6,16;2,94;2,87;28,22;23,16;45907,26;45634,75
UPM;-9;2;27,5;30,47;2,63;6,23;11,59;11;7,77;7,8;8,71;7,95;66,01;15,06;11,88;11,61;20,92;20,66;4,27;4,27;1,62;1,6;2,03;2;17,48;18,21;16149,35;17786,37
Kemira;0;2;13;12,94;2,72;4,82;8,55;8,53;10,27;10,43;9,89;10,26;46,52;53,88;6,52;6,27;14,94;14,16;4,33;4,33;1,51;1,45;1,08;1,02;12,63;11,92;1981,84;2693,39
Valmet;5;2;25;23,36;1,59;-2,38;9,13;9,51;20,31;19;19,22;19,55;42,41;17,07;8,31;8,01;14,45;14,1;3,85;4,07;2,8;2,57;1;0,99;10,96;10,45;3563,95;3709,24
Outokumpu;3;3;3,5;3,22;5,14;11,23;1,59;3,66;0,61;5,64;2,68;6,74;44,42;46,2;7,28;4,74;53,34;9,42;0;1,55;0,55;0,52;0,41;0,34;25,45;9,4;1398,9;2444,9
YIT;10;4;5,3;4,93;-6,5;5,23;4,95;6,04;8,67;11,07;7,88;10,31;46,35;54,38;8,22;7,26;11,53;8,55;5,07;6,08;0,98;0,92;0,56;0,53;11,21;8,74;1004,14;1602,32
Suominen;6;3;5,4;5,08;-2,18;4,79;7,54;6,97;13,66;12,11;14,46;13,37;55,07;10,66;5,49;5,32;12,95;13,55;3,35;3,74;1,7;1,59;0,7;0,63;9,27;9,03;293,1;310,28
Fortum;-2;2;20;19,7;24,99;1,88;3,1;3,04;7,83;7,91;7,31;7,29;30,23;35,85;7,44;7,36;15,92;15,62;5,69;5,74;1,24;1,23;0,4;0,39;12,85;12,85;18078,33;23297,8
